transformed_index,transformer,transformed_feature,source_feature
158,categorical,categorical__rosiglitazone_No,rosiglitazone
159,categorical,categorical__rosiglitazone_Steady,rosiglitazone
160,categorical,categorical__rosiglitazone_Up,rosiglitazone
161,categorical,categorical__acarbose_No,acarbose
162,categorical,categorical__acarbose_Steady,acarbose
163,categorical,categorical__acarbose_Up,acarbose
164,categorical,categorical__miglitol_No,miglitol
165,categorical,categorical__miglitol_Steady,miglitol
166,categorical,categorical__miglitol_Up,miglitol
167,categorical,categorical__troglitazone_No,troglitazone
168,categorical,categorical__troglitazone_Steady,troglitazone
169,categorical,categorical__tolazamide_No,tolazamide
170,categorical,categorical__tolazamide_Steady,tolazamide
171,categorical,categorical__insulin_Down,insulin
172,categorical,categorical__insulin_No,insulin
173,categorical,categorical__insulin_Steady,insulin
174,categorical,categorical__insulin_Up,insulin
175,categorical,categorical__glyburide-metformin_Down,glyburide-metformin
176,categorical,categorical__glyburide-metformin_No,glyburide-metformin
177,categorical,categorical__glyburide-metformin_Steady,glyburide-metformin
178,categorical,categorical__glyburide-metformin_Up,glyburide-metformin
179,categorical,categorical__glipizide-metformin_No,glipizide-metformin
180,categorical,categorical__glipizide-metformin_Steady,glipizide-metformin
181,categorical,categorical__metformin-rosiglitazone_No,metformin-rosiglitazone
182,categorical,categorical__metformin-rosiglitazone_Steady,metformin-rosiglitazone
183,categorical,categorical__change_Ch,change
184,categorical,categorical__change_No,change
185,categorical,categorical__diabetesMed_No,diabetesMed
186,categorical,categorical__diabetesMed_Yes,diabetesMed
187,specialty,specialty__medical_specialty_Cardiology,medical_specialty
188,specialty,specialty__medical_specialty_Emergency/Trauma,medical_specialty
189,specialty,specialty__medical_specialty_Endocrinology,medical_specialty
190,specialty,specialty__medical_specialty_Family/GeneralPractice,medical_specialty
191,specialty,specialty__medical_specialty_Gastroenterology,medical_specialty
192,specialty,specialty__medical_specialty_Hematology/Oncology,medical_specialty
193,specialty,specialty__medical_specialty_InternalMedicine,medical_specialty
194,specialty,specialty__medical_specialty_Missing,medical_specialty
195,specialty,specialty__medical_specialty_Nephrology,medical_specialty
196,specialty,specialty__medical_specialty_Neurology,medical_specialty
197,specialty,specialty__medical_specialty_ObstetricsandGynecology,medical_specialty
198,specialty,specialty__medical_specialty_Oncology,medical_specialty
199,specialty,specialty__medical_specialty_Orthopedics,medical_specialty
200,specialty,specialty__medical_specialty_Orthopedics-Reconstructive,medical_specialty
201,specialty,specialty__medical_specialty_Otolaryngology,medical_specialty
202,specialty,specialty__medical_specialty_Pediatrics,medical_specialty
203,specialty,specialty__medical_specialty_Pediatrics-CriticalCare,medical_specialty
204,specialty,specialty__medical_specialty_Pediatrics-Endocrinology,medical_specialty
205,specialty,specialty__medical_specialty_PhysicalMedicineandRehabilitation,medical_specialty
206,specialty,specialty__medical_specialty_Psychiatry,medical_specialty
207,specialty,specialty__medical_specialty_Pulmonology,medical_specialty
208,specialty,specialty__medical_specialty_Radiologist,medical_specialty
209,specialty,specialty__medical_specialty_Surgery-Cardiovascular,medical_specialty
210,specialty,specialty__medical_specialty_Surgery-Cardiovascular/Thoracic,medical_specialty
211,specialty,specialty__medical_specialty_Surgery-General,medical_specialty
212,specialty,specialty__medical_specialty_Surgery-Neuro,medical_specialty
213,specialty,specialty__medical_specialty_Surgery-Thoracic,medical_specialty
214,specialty,specialty__medical_specialty_Surgery-Vascular,medical_specialty
215,specialty,specialty__medical_specialty_Urology,medical_specialty
216,specialty,specialty__medical_specialty_infrequent_sklearn,medical_specialty
217,lab,lab__max_glu_serum_>200,max_glu_serum
218,lab,lab__max_glu_serum_>300,max_glu_serum
219,lab,lab__max_glu_serum_Norm,max_glu_serum
220,lab,lab__max_glu_serum_NotMeasured,max_glu_serum
221,lab,lab__A1Cresult_>7,A1Cresult
222,lab,lab__A1Cresult_>8,A1Cresult
223,lab,lab__A1Cresult_Norm,A1Cresult
224,lab,lab__A1Cresult_NotMeasured,A1Cresult
